ORGID,Industry,Region,Size,SecurityBudget,PrimarySecurityTeam,Maturity,Complexity,ExerciseFrequency,Threats,TTPs,Aims,Sector,Country,DataAtRisk,AttackPatterns,ActorMotivation
68,Ransomware,North America,Large,Medium,Hybrid,3,1,270,Ransomware;Phishing,Business Relationships;Initial Access;Code Repositories;Execution;System Owner/User Discovery;Credential Access;Browser Information Discovery;Replication Through Removable Media,Bad Rabbit;Phishing;DarkVishnya,Healthcare,US,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
69,Data Breach,Europe,Medium,Medium,Hybrid,1,4,150,Data Breach,Disable or Modify Network Device Firewall;Silver Ticket;Dynamic Data Exchange;Password Guessing,Steal Application Access Token;Banking Trojan;ShimRat,Healthcare,GB,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
70,Phishing,Oceania,Medium,Low,In-house,2,2,210,Phishing,Resource Development;Botnet;Execution;Right-to-Left Override;XSL Script Processing;IP Addresses;Business Relationships,Exfiltration Over Unencrypted Non-C2 Protocol;Gamaredon Group;REvil;Remote Access Trojan,Healthcare,AU,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
71,Phishing,North America,Large,Low,Outsourced,3,1,210,Phishing;Supply Chain;Data Breach,Hijack Execution Flow;Collection,Phishing;RTM;Data Encrypted for Impact;Penquin,Professional Services,US,Bank;Classified;Credentials;Internal;Medical,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
72,Remote Access Trojan,Europe,Small,High,Hybrid,1,2,330,Remote Access Trojan;Ransomware;Web Shell,System Network Configuration Discovery;Collection;File Transfer Protocols;Ingress Tool Transfer;Publish/Subscribe Protocols;Defense Evasion;Web Protocols,NightClub;Data Breach;SilverTerrier;Resource Hijacking,Education,DE,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
73,Ransomware,Oceania,Medium,Low,Hybrid,4,3,180,Ransomware;Web Shell;Supply Chain,Execution;Reconnaissance;Local Accounts;Clear Command History;System Network Configuration Discovery;RC Scripts;Compromise Software Supply Chain;Command Obfuscation;Hijack Execution Flow,Data Breach;Web Portal Capture;NightClub;APT3,Healthcare,NZ,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
74,Remote Access Trojan,Europe,Medium,Medium,Outsourced,5,1,210,Remote Access Trojan;Ransomware,DNS Server;Resource Development,VERMIN;Insider Threat;Moonstone Sleet,Education,GB,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
75,Ransomware,Europe,Medium,High,In-house,3,5,210,Ransomware;Insider Threat,Data from Network Shared Drive;Binary Padding;Malicious Link;Browser Information Discovery;Command Obfuscation;Windows Management Instrumentation Event Subscription;Execution;Cloud Accounts;Lateral Movement;Disk Wipe,Data Breach;NightClub;SilverTerrier;Code Signing,Other Services,FR,Credentials;Internal;Medical;Other;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
76,Web Shell,North America,Medium,Low,Hybrid,3,4,120,Web Shell;Data Breach;DDoS,Impact;Digital Certificates;Gather Victim Identity Information;Group Policy Modification;Reflection Amplification;Defense Evasion;Disk Wipe;Domain Groups;Command Obfuscation,Zeus Panda;Windows Management Instrumentation Event Subscription;Aquatic Panda,Other Services,MX,Credentials;Internal;Medical;Other;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
77,Insider Threat,Middle East,Medium,Medium,Hybrid,2,5,180,Insider Threat;Ransomware,Collection;Web Services,Code Signing;Moonstone Sleet;P.A.S. Webshell,Technology,AE,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
78,DDoS,North America,Small,High,Outsourced,2,3,270,DDoS;Web Shell;Data Breach,Group Policy Modification;Timestomp;Exfiltration Over Bluetooth;Overwrite Process Arguments;Endpoint Denial of Service;Domain Groups;Initial Access;File Transfer Protocols,Business Relationships;Banking Trojan;APT3,Technology,US,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
79,Phishing,Europe,Medium,Medium,Hybrid,4,3,270,Phishing;Crypto Miner,Group Policy Discovery;Botnet,Search Engines;Phishing;VERMIN;Carbanak,Healthcare,GB,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
80,DDoS,Europe,Small,Medium,Hybrid,4,5,120,DDoS;Supply Chain,Impact;Code Signing Certificates;Reflection Amplification;Command Obfuscation;Compromise Hardware Supply Chain;Establish Accounts;Privilege Escalation;Network Trust Dependencies;Execution,RTM;Code Signing;VERMIN;Supply Chain,Technology,GB,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
81,Web Shell,Asia,Medium,Low,In-house,5,5,300,Web Shell;Banking Trojan,Archive via Custom Method;Gather Victim Identity Information;Delete Cloud Instance;File Transfer Protocols;Vulnerability Scanning;Digital Certificates;Develop Capabilities;System Network Configuration Discovery;Code Repositories,SodaMaster;DarkVishnya;Banking Trojan;Replication Through Removable Media,Retail,KR,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Grudge
82,Banking Trojan,Asia,Large,Low,Hybrid,3,2,150,Banking Trojan,Multi-Factor Authentication Request Generation;Collection;Spearphishing Voice;Multi-Factor Authentication;Credential Access;Outlook Home Page;Privilege Escalation;Persistence;Defense Evasion,Code Signing;P.A.S. Webshell;APT3,Other Services,CN,Credentials;Internal;Medical;Other;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
83,Data Breach,Asia,Small,Medium,Outsourced,4,2,30,Data Breach,Local Data Staging;Privilege Escalation;Disable or Modify Network Device Firewall;Archive via Custom Method;Exfiltration Over Bluetooth;Domain Groups;Cloud Accounts;Code Signing;Disk Wipe,Carbanak;LSASS Memory;Kinsing,Other Services,IN,Credentials;Internal;Medical;Other;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
84,Phishing,Oceania,Small,High,Outsourced,5,5,120,Phishing;Data Breach,Reconnaissance;Password Guessing;Botnet;Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Initial Access;XSL Script Processing;Exfiltration Over Unencrypted Non-C2 Protocol;Debugger Evasion;Impact;Registry Run Keys / Startup Folder;Local Accounts,Aquatic Panda;Meteor;Web Portal Capture,Healthcare,AU,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
85,Remote Access Trojan,Middle East,Small,Medium,Outsourced,4,1,90,Remote Access Trojan;Phishing,Debugger Evasion;Databases;RC Scripts;Command Obfuscation;Social Media Accounts;Email Addresses;Resource Development;Collection,ShrinkLocker;Search Engines;TA577;Supply Chain,Finance,TR,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
86,Remote Access Trojan,Asia,Large,High,In-house,2,4,180,Remote Access Trojan,Collection;Vulnerability Scanning;Resource Development,Remote Access Tools;Data Breach;WINERACK,Utilities,JP,Bank;Classified;Credentials;Internal;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Ideology
87,Web Shell,North America,Small,Low,In-house,4,3,210,Web Shell;Banking Trojan,BITS Jobs;Reconnaissance;Defense Evasion;Remote Desktop Protocol;Multi-Factor Authentication Request Generation;Command And Control;Code Repositories;Establish Accounts;RC Scripts;Gather Victim Identity Information,PowerSploit;SilverTerrier;Resource Hijacking,Technology,US,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
88,Data Breach,Middle East,Medium,High,Outsourced,3,1,330,Data Breach;Web Shell;Phishing,Privilege Escalation;Local Accounts;System Owner/User Discovery;System Network Configuration Discovery;Debugger Evasion;Exfiltration Over Bluetooth;Password Guessing;Lateral Tool Transfer,Penquin;Business Relationships;Data Breach;SideCopy,Manufacturing,AE,Bank;Classified;Credentials;Internal;Medical,Basic Web Application Attacks;System Intrusion;Social Engineering,Espionage;Financial;Fun
89,Insider Threat,North America,Medium,High,Outsourced,2,1,30,Insider Threat;Data Breach;Remote Access Trojan,Impact;Exfiltration Over Bluetooth;Data Transfer Size Limits;Binary Padding;Archive via Custom Method,Storm-1811;Search Engines;Chaos;Remote Access Trojan,Healthcare,US,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
90,Remote Access Trojan,Oceania,Small,Medium,Outsourced,4,2,330,Remote Access Trojan;Ransomware;Web Shell,Credential Access;Browser Information Discovery;Dynamic Data Exchange;Virtual Private Server;System Network Configuration Discovery;Defense Evasion;Privilege Escalation;Lateral Tool Transfer;Collection;DNS Server,Akira;QakBot;DDoS,Education,AU,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
91,Remote Access Trojan,Africa,Medium,Medium,Hybrid,5,1,180,Remote Access Trojan,Data Encoding;DNS Server;Network Devices;Defense Evasion;Command And Control,Moonstone Sleet;Remote Access Tools;ShimRat;Banking Trojan,Technology,ZA,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
92,Data Breach,Africa,Medium,Medium,Outsourced,3,2,270,Data Breach;Phishing,Cloud Accounts;Impact;Reconnaissance;Exfiltration Over Unencrypted Non-C2 Protocol;IP Addresses;Social Media Accounts;Parent PID Spoofing,FIN4;Web Portal Capture;SodaMaster,Government,ZA,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
93,DDoS,Asia,Small,Medium,In-house,1,1,90,DDoS;Ransomware,Browser Information Discovery;Botnet;Windows File and Directory Permissions Modification;Reconnaissance;Establish Accounts;Credential Access;Acquire Infrastructure;Dynamic Data Exchange;Persistence;Reflection Amplification;Disable or Modify Cloud Firewall,Code Signing;Banking Trojan;QakBot,Technology,SG,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
94,Remote Access Trojan,Africa,Large,Medium,Hybrid,4,1,240,Remote Access Trojan;Ransomware,Resource Development;Search Victim-Owned Websites;Acquire Infrastructure;Credential Access;Databases;Collection;Initial Access;Virtual Private Server;Windows Management Instrumentation Event Subscription;Data Encoding;Remote Email Collection,Akira;Banking Trojan;DarkTortilla;Exfiltration Over Unencrypted Non-C2 Protocol,Education,ZA,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
95,Ransomware,Europe,Large,High,In-house,2,1,60,Ransomware;Banking Trojan,Acquire Infrastructure;Privilege Escalation,Crypto Miner;Moonstone Sleet;Kinsing,Government,ES,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
96,Web Shell,Africa,Small,Medium,In-house,4,1,180,Web Shell,Lateral Tool Transfer;File Transfer Protocols;Ingress Tool Transfer;Defense Evasion;Browser Information Discovery;DNS Server;RC Scripts;Vulnerability Scanning;Digital Certificates;Group Policy Modification;Execution,Gamaredon Group;DarkTortilla;LSASS Memory;Insider Threat,Education,ZA,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
97,Data Breach,North America,Small,Medium,Outsourced,1,5,270,Data Breach,Resource Development;Local Data Staging;Remote Services;Silver Ticket;Registry Run Keys / Startup Folder;Exfiltration Over Bluetooth;Disk Wipe;Impact,NightClub;TA577;Remote Access Trojan,Professional Services,US,Bank;Classified;Credentials;Internal;Medical,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
98,Banking Trojan,Europe,Large,Medium,Outsourced,2,2,120,Banking Trojan,Discovery;Delete Cloud Instance;Command And Control;Credential Access;Defense Evasion;Persistence;Bypass User Account Control,APT3;Data Breach;REvil;Steal Application Access Token,Retail,GB,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Grudge
99,Web Shell,Asia,Medium,High,Hybrid,4,1,270,Web Shell;Ransomware;Remote Access Trojan,Remote Email Collection;RC Scripts;Initial Access;Lateral Movement;Clear Command History;Vulnerability Scanning;DNS;Reconnaissance;Ingress Tool Transfer;Command And Control,Saint Bear;Ransomware;Remote Service Session Hijacking,Education,KR,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
100,Web Shell,Europe,Medium,Low,Hybrid,3,1,90,Web Shell,Browser Information Discovery;System Network Configuration Discovery;Lateral Tool Transfer;Clear Command History;Vulnerability Scanning;Digital Certificates;Defense Evasion;Local Accounts;RC Scripts;DNS Server,Ransomware;QakBot;Data Encrypted for Impact;SideCopy,Administrative,GB,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
101,Web Shell,Europe,Medium,Medium,Hybrid,3,1,90,Web Shell;Ransomware;Data Breach,Disk Wipe;Web Protocols;Replication Through Removable Media;Command Obfuscation;Silver Ticket;Windows Management Instrumentation Event Subscription;Lateral Movement;DNS Server;Discovery,SideCopy;P.A.S. Webshell;Modify Cloud Compute Configurations;Remote Access Trojan,Education,GB,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
102,Ransomware,Europe,Large,High,In-house,4,4,120,Ransomware;Remote Access Trojan;Web Shell,Dynamic Data Exchange;DNS,Remote Service Session Hijacking;SideCopy;Phishing;NightClub,Education,GB,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
103,Ransomware,North America,Small,Low,Hybrid,3,4,90,Ransomware;Data Breach,Remote Services;Dynamic Data Exchange,Data Breach;Business Relationships;PowerSploit,Finance,CA,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
104,Ransomware,Oceania,Medium,Medium,Hybrid,3,3,180,Ransomware,Privilege Escalation;Reconnaissance;Resource Development;Lateral Movement;Windows Management Instrumentation Event Subscription;Initial Access,Bad Rabbit;Phishing;Web Portal Capture,Education,AU,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
105,Phishing,Middle East,Medium,Low,In-house,1,1,120,Phishing;Web Shell;Ransomware,XSL Script Processing;Execution;Remote Desktop Protocol;Acquire Infrastructure;Replication Through Removable Media;IP Addresses;RC Scripts,Poseidon Group;Data Encrypted for Impact;Supply Chain;WINERACK,Education,AE,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
106,DDoS,Asia,Medium,High,In-house,5,1,150,DDoS;Banking Trojan,Reflection Amplification;Multi-Factor Authentication;Overwrite Process Arguments,Ransomware;Exfiltration Over Unencrypted Non-C2 Protocol;P.A.S. Webshell,Government,JP,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
107,DDoS,Oceania,Medium,Low,Outsourced,3,5,210,DDoS;Phishing;Ransomware,Resource Development;Disk Wipe;Privilege Escalation;Business Relationships;Domain Groups;Network Denial of Service;Social Media Accounts,SodaMaster;Poseidon Group;LSASS Memory,Finance,AU,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
108,Banking Trojan,Europe,Small,Medium,In-house,5,3,210,Banking Trojan;Remote Access Trojan,DNS;Defense Evasion;Publish/Subscribe Protocols;Search Victim-Owned Websites;Establish Accounts;Delete Cloud Instance;Local Data Staging;Databases;RC Scripts,Windows Management Instrumentation Event Subscription;FIN4;Ransomware,Government,GB,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
109,Ransomware,Asia,Small,High,In-house,2,2,210,Ransomware;Remote Access Trojan,Collection;Remote Email Collection;Windows Management Instrumentation Event Subscription;Defense Evasion;Web Protocols;Impact;Vulnerability Scanning,Play;SodaMaster;Crypto Miner;Business Relationships,Finance,SG,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
110,Banking Trojan,Europe,Medium,Low,Outsourced,2,3,30,Banking Trojan;Remote Access Trojan,Data Encoding;Remote Access Tools;Multi-Factor Authentication Request Generation;Defense Evasion;Multi-Factor Authentication,Exfiltration Over Unencrypted Non-C2 Protocol;ShrinkLocker;Aquatic Panda;Banking Trojan,Government,GB,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
111,Data Breach,Asia,Small,High,Outsourced,1,2,120,Data Breach;Remote Access Trojan,Disk Wipe;DNS Server;Virtual Private Server;Network Devices;Disable or Modify Network Device Firewall;Vulnerability Scanning,ShrinkLocker;Gamaredon Group;Replication Through Removable Media,Government,IN,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
112,Data Breach,Africa,Small,High,Hybrid,3,2,270,Data Breach;Web Shell;DDoS,RC Scripts;Botnet;Lateral Tool Transfer;File Transfer Protocols;Network Denial of Service,Remote Access Tools;Data Breach;P.A.S. Webshell,Technology,ZA,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
113,Data Breach,South America,Medium,Low,Hybrid,1,4,180,Data Breach;Crypto Miner,Private Keys;Disable Crypto Hardware;Remote Services,DDoS;QakBot;Akira,Trade,AR,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Everything Else,Financial;Fun;Grudge
114,Data Breach,North America,Large,High,Hybrid,1,4,180,Data Breach,Impact;Disable or Modify Network Device Firewall;Registry Run Keys / Startup Folder;Silver Ticket;Dynamic Data Exchange,Data Encrypted for Impact;Meteor;Poseidon Group,Technology,US,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
115,Banking Trojan,Oceania,Medium,Low,Outsourced,4,4,30,Banking Trojan;DDoS,Persistence;Command Obfuscation;Botnet;Timestomp;BITS Jobs;Delete Cloud Instance;Initial Access,Network Trust Dependencies;Sandworm Team;Banking Trojan;QakBot,Government,AU,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
116,Banking Trojan,Europe,Small,Medium,Outsourced,4,2,210,Banking Trojan,Defense Evasion;Discovery;Persistence;Spearphishing Voice;Privilege Escalation;Develop Capabilities;Bypass User Account Control;Collection;Resource Development;Credential Access;Code Repositories,Mispadu;RTM;Resource Hijacking;Banking Trojan,Hospitality,FR,Bank;Credentials;Internal;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Financial;Ideology;Unknown
117,Ransomware,North America,Large,High,Outsourced,4,3,210,Ransomware;Web Shell,Gather Victim Identity Information;Execution,Data Encrypted for Impact;DDoS;Ke3chang,Education,US,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
118,Web Shell,North America,Large,Medium,Hybrid,3,1,180,Web Shell;Remote Access Trojan,Vulnerability Scanning;RC Scripts;Data Encrypted for Impact;Collection,Akira;Modify Cloud Compute Configurations;ShimRat;Insider Threat,Education,US,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
119,Data Breach,North America,Small,Medium,In-house,1,4,240,Data Breach;Banking Trojan,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Impact;Silver Ticket;Disable or Modify Network Device Firewall;Registry Run Keys / Startup Folder;Code Signing;Establish Accounts;Domain Groups;Exfiltration Over Bluetooth;Reconnaissance;Multi-Factor Authentication,TA577;Data Encrypted for Impact;Bad Rabbit;Remote Access Trojan,Entertainment,US,Bank;Credentials;Internal;Medical;Other,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Financial;Fun;Grudge
120,Data Breach,Middle East,Small,High,Hybrid,2,1,360,Data Breach;Ransomware,Remote Services;Resource Development;Cloud Accounts;Domain Groups;Impact;Exfiltration Over Bluetooth;Lateral Movement;Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Command Obfuscation,DDoS;Kinsing;Saint Bear,Administrative,TR,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
121,Ransomware,Oceania,Large,Medium,Hybrid,5,2,300,Ransomware;Web Shell;Data Breach,Reconnaissance;Exfiltration Over Unencrypted Non-C2 Protocol;Silver Ticket;Browser Information Discovery;Initial Access;Disable or Modify Network Device Firewall;Archive via Custom Method;Data Encrypted for Impact,Steal Application Access Token;Chaos;DarkVishnya;Web Shell,Retail,NZ,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Grudge
122,Banking Trojan,North America,Medium,High,Hybrid,4,4,150,Banking Trojan,Collection;Transmitted Data Manipulation;Delete Cloud Instance;Outlook Home Page;Resource Development,Sandworm Team;DarkTortilla;Data Breach;Web Portal Capture,Government,US,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
123,Data Breach,North America,Small,Medium,Outsourced,2,2,30,Data Breach;Web Shell,Impact;Clear Command History,DarkVishnya;Data Encrypted for Impact;DarkTortilla;Web Shell,Technology,US,Credentials;Internal;Other;Payment;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
124,Remote Access Trojan,Middle East,Small,Medium,In-house,3,4,330,Remote Access Trojan;Ransomware;Web Shell,Discovery;Command And Control;Dynamic Data Exchange;Group Policy Modification;Lateral Tool Transfer;System Network Configuration Discovery;Privilege Escalation;Gather Victim Identity Information;Digital Certificates,SodaMaster;Search Engines;Carbanak,Education,IL,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
125,Phishing,North America,Small,High,Outsourced,3,4,210,Phishing;Insider Threat,Social Media Accounts;Botnet;Control Panel;SMB/Windows Admin Shares;Local Accounts;System Owner/User Discovery;VNC;Resource Development;Data from Network Shared Drive;Code Repositories;Parent PID Spoofing,SodaMaster;RTM;DDoS,Healthcare,US,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
126,Remote Access Trojan,North America,Small,High,Outsourced,3,4,240,Remote Access Trojan;Data Breach,DNS;Archive via Custom Method;Collection;Remote Email Collection;Impact;Network Devices;Exfiltration Over Bluetooth;Exfiltration Over Unencrypted Non-C2 Protocol,LAPSUS$;Exfiltration Over Unencrypted Non-C2 Protocol;DDoS;Mispadu,Government,US,Classified;Credentials;Internal;Medical;Personal,Basic Web Application Attacks;System Intrusion;Social Engineering;Denial of Service,Espionage;Financial;Fun
127,Insider Threat,Europe,Medium,Medium,Hybrid,1,5,360,Insider Threat;DDoS,SMB/Windows Admin Shares;Exfiltration;Scheduled Transfer;Bandwidth Hijacking;Data from Network Shared Drive;Disable or Modify Cloud Firewall;Employee Names;Purchase Technical Data;Command and Scripting Interpreter;Command Obfuscation;Relocate Malware,PowerSploit;Remote Access Trojan;Ke3chang;Data Encrypted for Impact,Trade,GB,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Everything Else,Financial;Fun;Grudge
128,Ransomware,Oceania,Large,Medium,Outsourced,4,1,240,Ransomware;Web Shell,Lateral Movement;Mshta;Domain Groups;Gather Victim Identity Information;Defense Evasion;Local Accounts;Windows File and Directory Permissions Modification;Impact,QakBot;Insider Threat;Aquatic Panda,Education,AU,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
129,Ransomware,Asia,Small,High,In-house,5,2,300,Ransomware;Remote Access Trojan,Impact;Command Obfuscation;DNS Server;Execution;RC Scripts;Replication Through Removable Media;Acquire Infrastructure;Search Victim-Owned Websites;Virtual Private Server;Windows File and Directory Permissions Modification,Chaos;Insider Threat;Aquatic Panda,Education,IN,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
130,Ransomware,North America,Large,Low,In-house,1,1,120,Ransomware;Data Breach,Impact;Initial Access;Defense Evasion;Acquire Infrastructure;Exfiltration Over Bluetooth;Domain Groups;Credential Access,REvil;Replication Through Removable Media;Ransomware,Education,US,Credentials;Internal;Medical;Personal;Unknown,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
131,DDoS,Asia,Large,High,Outsourced,3,4,150,DDoS;Supply Chain;Banking Trojan,Identify Business Tempo;Code Signing Certificates;Endpoint Denial of Service,Play;ShimRat;Remote Service Session Hijacking,Finance,PH,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering;Everything Else,Espionage;Financial;Fun
132,Phishing,Oceania,Medium,High,Hybrid,3,1,90,Phishing;Banking Trojan,Parent PID Spoofing;Email Addresses;Command And Control;Command Obfuscation;Control Panel;IP Addresses;Code Repositories;Reconnaissance,Remote Access Trojan;Zeus Panda;Steal Application Access Token;Akira,Healthcare,NZ,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
133,Banking Trojan,Oceania,Large,Low,Hybrid,5,1,360,Banking Trojan,Bypass User Account Control;BITS Jobs;Privilege Escalation;Resource Development;Defense Evasion;Transmitted Data Manipulation;Spearphishing Voice;Multi-Factor Authentication,DDoS;Windows Management Instrumentation Event Subscription;Zeus Panda,Retail,AU,Bank;Credentials;Internal;Medical;Payment,Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Grudge
134,Insider Threat,North America,Large,Low,Outsourced,3,2,90,Insider Threat;Banking Trojan,BITS Jobs;Discovery,QakBot;Carbanak;Insider Threat,Healthcare,US,Bank;Credentials;Internal;Medical;Payment,Privilege Misuse;Basic Web Application Attacks;System Intrusion;Social Engineering,Financial;Fun;Unknown
