EXID,ExCreation,ExThreat,ExTTPs,ExCategories,ExGroups,ExSoftware,ExStructure,ExMaturity,ExComplexity,ExLength,ExAudience,ExTradeCraftIntra,ExTradeCraftInter,ExTechniqueIDs,ExTactics,ExPlatforms,ExDataSources
34,2021-11-03,Insider Threat,Collection;Scheduled Transfer;Employee Names;Exfiltration,Impact;Data breach;Exfiltration,APT39;Akira;UNC3886;Earth Lusca;CopyKittens;Aquatic Panda,TONESHELL;CORALDECK;Kazuar,Legal;Detection;Notification;Validation;Response;Developments,2,3,165,Media;SecOps,0.655705,0.906427,T1560.001;T1029;T1589.003;T1567.004,collection;exfiltration;reconnaissance,ESXi;Linux;Office Suite;PRE;SaaS;Windows;macOS,Detection Strategy for Scheduled Transfer and Recurrent Exfiltration Patterns;Detect Archiving via Utility (T1560.001);Detection of Employee Names;Detection Strategy for Exfiltration Over Webhook
35,2025-01-15,Supply Chain,DLL;Code Signing Certificates;Gather Victim Network Information;Supply Chain Compromise;Hijack Execution Flow,APT;Initial Access;Dark web,Daggerfly;Sandworm Team;GALLIUM;APT41;Ember Bear;Lazarus Group;PROMETHIUM;Aquatic Panda;BlackTech;APT3,CorKLOG,Detection;Exfiltration;Developments;Impact,5,5,75,Legal;Vulnerability Management,0.580386,0.905684,T1574.001;T1587.002;T1590;T1195;T1574,defense-evasion;initial-access;persistence;privilege-escalation;reconnaissance;resource-development,Linux;PRE;SaaS;Windows;macOS,Detection Strategy for Hijack Execution Flow across OS platforms.;Behavioral detection for Supply Chain Compromise (package/update tamper → install → first-run);Detection of Gather Victim Network Information;Detection Strategy for Hijack Execution Flow for DLLs;Detection of Code Signing Certificates
36,2020-09-22,Phishing;Web Shell,Spearphishing Attachment;System Owner/User Discovery;Control Panel;Local Accounts,Initial Access;Financial;C2,APT39;APT29;Stealth Falcon;Magic Hound,EVILNUM;SodaMaster,Privacy;Developments;Exfiltration;Media;Notification;Detection;Response;Legal,1,2,75,Threat Intel;SecOps,1.0,0.940028,T1598.002;T1033;T1218.002;T1078.003,defense-evasion;discovery;initial-access;persistence;privilege-escalation;reconnaissance,Containers;ESXi;Linux;Network Devices;PRE;Windows;macOS,Detection of Spearphishing Attachment;Detection of Local Account Abuse for Initial Access and Persistence;Behavioral Detection of User Discovery via Local and Remote Enumeration;Detection of Malicious Control Panel Item Execution via control.exe or Rundll32
37,2023-03-06,Data Breach,Collection;Phishing for Information;OS Credential Dumping;Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Golden Ticket;Exfiltration over USB;Network Device Configuration Dump,Data breach;Impact,Moonstone Sleet;Axiom;Storm-0501;APT32;CURIUM;Tropic Trooper;APT39;Tonto Team;APT28;Fox Kitten;Storm-1811;Poseidon Group;Suckfly;Ember Bear,PinchDuke;Carbanak,Exfiltration;Detection;Response;Legal,4,2,60,Media;SecOps,0.724642,1.0,T1213.005;T1598;T1003;T1048.002;T1558.001;T1052.001;T1602.002,collection;credential-access;exfiltration;reconnaissance,ESXi;Linux;Network Devices;Office Suite;PRE;SaaS;Windows;macOS,Credential Dumping via Sensitive Memory and Registry Access Correlation;Detection of USB-Based Data Exfiltration;Detect Forged Kerberos Golden Tickets (T1558.001);Detection Strategy for Network Device Configuration Dump via Config Repositories;Detection of Phishing for Information;Detection of Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Detecting Unauthorized Collection from Messaging Applications in SaaS and Office Environments
38,2021-08-12,Phishing,Botnet;Social Media Accounts;Right-to-Left Override;Command Obfuscation;Initial Access;Gather Victim Identity Information;Spearphishing via Service;Email Spoofing,Initial Access;Malware;Data breach;Financial,GOLD SOUTHFIELD;Cleaver;Sidewinder;LAPSUS$;Water Galura;Volt Typhoon;Leafminer;APT32;Silence;FIN8;Sea Turtle;EXOTIC LILY;Ke3chang;Storm-1811;Dark Caracal;Medusa Group,IceApple;Emotet;CARROTBAT,Notification;Privacy;Media;Exfiltration,4,5,60,Network;SecOps,0.733736,1.0,T1584.005;T1585.001;T1036.002;T1027.010;T1566;T1589;T1566.003;T1672,defense-evasion;initial-access;reconnaissance;resource-development,Identity Provider;Linux;Office Suite;PRE;SaaS;Windows;macOS,Detection Strategy for Spearphishing via a Service across OS Platforms;Detection Strategy for Phishing across platforms.;Detection Strategy for Command Obfuscation;Right-to-Left Override Masquerading Detection via Filename and Execution Context;Detection of Botnet;Detection Strategy for Email Spoofing;Detection of Social Media Accounts;Detection of Gather Victim Identity Information
39,2023-10-18,Insider Threat;Ransomware,Command and Scripting Interpreter;Defense Evasion;SMB/Windows Admin Shares;Malicious Link;Data from Network Shared Drive,Impact;Exfiltration,Evilnum;Fox Kitten;Deep Panda;FIN6;APT19,Olympic Destroyer;WINERACK;Cobalt Strike;PLEAD;Kessel,Impact;Privacy;Validation;Response;Media;Detection;Exfiltration,1,3,60,SecOps;Vulnerability Management,0.307889,0.835351,T1059;T1027.011;T1021.002;T1204.001;T1039,collection;defense-evasion;execution;lateral-movement,ESXi;IaaS;Identity Provider;Linux;Network Devices;Office Suite;Windows;macOS,"Behavioral Detection of Command and Scripting Interpreter Abuse;User Execution – Malicious Link (click → suspicious egress → download/write → follow-on activity);Detection Strategy for Fileless Storage via Registry, WMI, and Shared Memory;Detection Strategy for Data from Network Shared Drive;Multi-Event Detection for SMB Admin Share Lateral Movement"
40,2025-03-27,Crypto Miner,Disable Crypto Hardware;Automated Collection;Defense Evasion;Obfuscated Files or Information;SMB/Windows Admin Shares;Application Window Discovery,DDoS;Botnet,FIN8;Chimera;Storm-1811;HEXANE;Gallmaker;APT37;Volt Typhoon;Agrius;RedCurl;Aquatic Panda;APT32,jRAT;Ecipekac;StrelaStealer,Detection;Legal;Notification;Response,5,4,135,Media;SecOps,0.52338,1.0,T1600.002;T1119;T1600;T1027;T1021.002;T1010,collection;defense-evasion;discovery;lateral-movement,ESXi;IaaS;Linux;Network Devices;Office Suite;SaaS;Windows;macOS,Detection of Application Window Enumeration via API or Scripting;Detection Strategy for Weaken Encryption on Network Devices;Automated File and API Collection Detection Across Platforms;Behavioral Detection of Obfuscated Files or Information;Detection Strategy for Weaken Encryption: Disable Crypto Hardware on Network Devices;Multi-Event Detection for SMB Admin Share Lateral Movement
41,2020-06-22,Supply Chain;Crypto Miner,Execution;Credential Access;Gatekeeper Bypass;Invalid Code Signature;SIP and Trust Provider Hijacking;Modify Cloud Compute Configurations;Downgrade Attack,Dark web;Crypto;Malware,Leviathan;MuddyWater;Windshift;Patchwork;FIN7;APT28;APT37;Gallmaker;BITTER;Cobalt Group,HAWKBALL;BADNEWS;POWERSTATS,Legal;Exfiltration;Privacy;Developments;Response;Impact;Detection;Validation;Media;Notification,4,4,150,Media;SecOps,0.297139,0.64653,T1559.002;T1606.001;T1553.001;T1036.001;T1553.003;T1578.005;T1562.010,credential-access;defense-evasion;execution,IaaS;Linux;SaaS;Windows;macOS,Detection Strategy for Subvert Trust Controls using SIP and Trust Provider Hijacking.;Detection Strategy for Modify Cloud Compute Infrastructure: Modify Cloud Compute Configurations;Detecting Downgrade Attacks;Detection Strategy for Forged Web Cookies;Detect Gatekeeper Bypass via Quarantine Flag and Trust Control Manipulation;Invalid Code Signature Execution Detection via Metadata and Behavioral Context;Detect Abuse of Dynamic Data Exchange (T1559.002)
42,2022-06-15,Supply Chain,Compromise Software Supply Chain;Invalid Code Signature;Gather Victim Network Information;Code Signing Certificates;Hijack Execution Flow;Install Root Certificate,APT;Malware;Initial Access;Supply Chain,Volt Typhoon;Threat Group-3390;Kimsuky,Nightdoor;DarkGate;NETWIRE;COATHANGER;WindTail,Legal;Detection;Developments;Privacy;Response;Media,5,5,150,Network;SecOps,0.4619,0.98566,T1195.002;T1036.001;T1590;T1588.003;T1574;T1553.004,defense-evasion;initial-access;persistence;privilege-escalation;reconnaissance;resource-development,Linux;PRE;Windows;macOS,Detection Strategy for Hijack Execution Flow across OS platforms.;Detection Strategy for Subvert Trust Controls via Install Root Certificate.;Compromised software/update chain (installer/write → first-run/child → egress/signature anomaly);Invalid Code Signature Execution Detection via Metadata and Behavioral Context;Detection of Gather Victim Network Information;Detection of Code Signing Certificates
43,2021-03-08,Phishing;DDoS,Resource Development;Establish Accounts;Timestomp;Relocate Malware;Initial Access;Debugger Evasion,Botnet;Financial,Kimsuky;Indrik Spider;UNC3886;Sandworm Team;Sea Turtle;APT32,USBStealer,Legal;Validation;Privacy;Notification;Exfiltration;Detection;Developments;Impact,1,5,150,Network;SecOps,0.501064,0.689109,T1585.002;T1585;T1070.006;T1070.010;T1566;T1622,defense-evasion;discovery;initial-access;resource-development,ESXi;Identity Provider;Linux;Network Devices;Office Suite;PRE;SaaS;Windows;macOS,Cross-Platform Behavioral Detection of File Timestomping via Metadata Tampering;Detection Strategy for Phishing across platforms.;Detection of Email Accounts;Detection Strategy for Debugger Evasion (T1622);Detection of Malware Relocation via Suspicious File Movement;Detection of Establish Accounts
44,2022-04-21,Ransomware;Insider Threat,Data Transfer Size Limits;Collection;Binary Padding;Bypass User Account Control;Web Services;Browser Information Discovery,Malware;Financial,Lotus Blossom;CopyKittens;APT38;Moonstone Sleet;Akira;Medusa Group;Scattered Spider;CURIUM;BRONZE BUTLER;Evilnum;Play;Kimsuky;APT29;Leviathan;LuminousMoth;Lazarus Group,RGDoor;LunarWeb;AppleJeus;Remcos,Notification;Legal;Impact;Detection;Privacy,4,3,30,Media;SecOps,0.575664,0.61331,T1030;T1560.003;T1027.001;T1548.002;T1584.006;T1217,collection;defense-evasion;discovery;exfiltration;privilege-escalation;resource-development,ESXi;Linux;PRE;Windows;macOS,Detect Archiving via Custom Method (T1560.003);Detection of Local Browser Artifact Access for Reconnaissance;Detection of Web Services;Detection Strategy for Data Transfer Size Limits and Chunked Exfiltration;Detection Strategy for Obfuscated Files or Information: Binary Padding;Detection Strategy for T1548.002 – Bypass User Account Control (UAC)
45,2020-06-08,Data Breach;DDoS,Disk Wipe;Persistence;Exfiltration Over Unencrypted Non-C2 Protocol;Disable or Modify Network Device Firewall;Wi-Fi Networks;Defense Evasion;Reflection Amplification,Financial;Impact,APT38;OilRig;APT28;Salt Typhoon;APT33;Mustang Panda;Lazarus Group;TeamTNT;Carbanak;Contagious Interview;Moses Staff;Magic Hound;Rocke;UNC3886;Dragonfly,Dok;Hannotog;CosmicDuke;BlackByte 2.0 Ransomware,Media;Impact;Legal;Privacy;Validation;Notification;Developments;Exfiltration;Detection;Response,5,4,60,Network;SecOps,0.559969,0.86106,T1561;T1671;T1048.003;T1562.013;T1669;T1562.004;T1498.002,defense-evasion;exfiltration;impact;initial-access;persistence,ESXi;IaaS;Linux;Network Devices;Office Suite;SaaS;Windows;macOS,Detection Strategy for Cloud Application Integration;Detection of Exfiltration Over Unencrypted Non-C2 Protocol;Detection Strategy for Disk Wipe via Direct Disk Access and Destructive Commands;Detection Strategy for Wi-Fi Networks;Detection of Disabled or Modified System Firewalls across OS Platforms.;Detection Strategy for Reflection Amplification DoS (T1498.002);Unauthorized Network Firewall Rule Modification (T1562.013)
46,2020-05-16,Data Breach,Disk Wipe;Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Archive via Custom Method;Data from Configuration Repository;Search Engines,Data breach;Dark web;Impact,Mustang Panda;CURIUM;FIN6;Kimsuky;Lazarus Group;APT28;Lotus Blossom;CopyKittens;UNC3886;Storm-1811,Agent.btz;Duqu;Reaver,Media;Response;Validation;Impact;Privacy;Developments;Detection,5,5,45,Network;SecOps,0.801593,1.0,T1561;T1048.002;T1560.003;T1602;T1593.002,collection;exfiltration;impact;reconnaissance,ESXi;Linux;Network Devices;PRE;Windows;macOS,Detection Strategy for Disk Wipe via Direct Disk Access and Destructive Commands;Detect Archiving via Custom Method (T1560.003);Detection Strategy for Data from Configuration Repository on Network Devices;Detection of Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;Detection of Search Engines
47,2021-12-11,Supply Chain,Resource Development;Linux and Mac File and Directory Permissions Modification;Network Trust Dependencies;Compromise Software Supply Chain,Dark web;Initial Access;Supply Chain;APT,TeamTNT;APT29;APT32;Daggerfly;FIN7;Rocke;Dragonfly;APT41;Cobalt Group,Penquin;Black Basta;GoldenSpy;P.A.S. Webshell,Legal;Detection;Exfiltration;Developments;Validation;Media;Impact;Notification;Response,2,3,150,SecOps;Vulnerability Management,0.653584,0.947859,T1586.003;T1222.002;T1590.003;T1195.002,defense-evasion;initial-access;reconnaissance;resource-development,Linux;PRE;Windows;macOS,Detection of Network Trust Dependencies;Unix-like File Permission Manipulation Behavioral Chain Detection Strategy;Detection of Cloud Accounts;Compromised software/update chain (installer/write → first-run/child → egress/signature anomaly)
48,2023-03-27,Crypto Miner;Supply Chain,Clipboard Data;File Deletion;Defense Evasion,Botnet;APT;Initial Access;Malware,Sandworm Team;The White Company;Wizard Spider;BRONZE BUTLER;APT39;Metador;FIN6;Patchwork;Rocke;menuPass;Aquatic Panda;Evilnum,ROADSWEEP;ShrinkLocker;Imminent Monitor;LunarWeb,Detection;Media;Notification,4,4,240,Legal;Threat Intel,0.76804,0.973764,T1115;T1070.004;T1553.001,collection;defense-evasion,ESXi;Linux;Windows;macOS,Behavioral Detection of Malicious File Deletion;Detect Gatekeeper Bypass via Quarantine Flag and Trust Control Manipulation;Clipboard Data Access with Anomalous Context
49,2025-12-16,Ransomware,Impact;Digital Certificates;OS Credential Dumping;Execution Guardrails;Windows File and Directory Permissions Modification;Exfiltration to Text Storage Sites,Financial;Dark web,Suckfly;Sowbug;Contagious Interview,Akira _v2;Ragnar Locker;WannaCry;Playcrypt;TONESHELL,Privacy;Media;Impact;Validation;Notification;Detection;Legal;Response,5,3,75,Media;Vulnerability Management,0.458427,0.757781,T1490;T1596.003;T1003;T1480;T1222.001;T1567.003,credential-access;defense-evasion;exfiltration;impact;reconnaissance,Containers;ESXi;IaaS;Linux;Network Devices;PRE;Windows;macOS,Multi-Platform Execution Guardrails Environmental Validation Detection Strategy;Windows DACL Manipulation Behavioral Chain Detection Strategy;Detection of Digital Certificates;Detection Strategy for Exfiltration to Text Storage Sites;Credential Dumping via Sensitive Memory and Registry Access Correlation;Behavioral Detection for T1490 - Inhibit System Recovery
50,2022-12-16,Remote Access Trojan,Remote Email Collection;SSH Hijacking;Spearphishing Attachment;Dynamic-link Library Injection;Virtual Private Server;Command And Control,Initial Access;APT;Malware;Exfiltration,APT33;APT1;Storm-1811;Elderwood;APT38;Naikon;APT32,TajMahal;Lizar,Impact;Response;Detection;Legal;Validation;Exfiltration,3,4,120,SecOps;Exec,0.698428,0.543584,T1114.002;T1563.001;T1566.001;T1055.001;T1584.003;T1219.002,collection;command-and-control;defense-evasion;initial-access;lateral-movement;privilege-escalation;resource-development,Linux;Office Suite;PRE;Windows;macOS,Behavioral Detection of DLL Injection via Windows API;Detection Strategy for SSH Session Hijacking;Detection Strategy for Spearphishing Attachment across OS Platforms;Detection of Virtual Private Server;Remote Desktop Software Execution and Beaconing Detection;Detect Remote Email Collection via Abnormal Login and Programmatic Access
51,2021-09-15,DDoS,Windows Service;Resource Hijacking,Impact;Botnet,APT38;APT32;OilRig;BlackByte;Medusa Group;DarkVishnya;Agrius;FIN7;APT41;Cobalt Group,Kwampirs;Wiarp,Notification;Privacy;Response;Media;Detection;Exfiltration;Developments;Validation;Legal;Impact,1,1,90,Threat Intel;SecOps,0.803127,0.862213,T1543.003;T1496,impact;persistence;privilege-escalation,Containers;IaaS;Linux;SaaS;Windows;macOS,Resource Hijacking Detection Strategy;Detection of Windows Service Creation or Modification
52,2022-03-13,Banking Trojan,Resource Development;Defense Evasion;Dynamic Data Exchange;Develop Capabilities,Botnet;C2;Data breach,Medusa Group;Magic Hound;Sidewinder;Moonstone Sleet;Lazarus Group;Cleaver;MuddyWater;Kimsuky;Scarlet Mimic;Water Galura;BITTER;FIN7;BlackTech;Sandworm Team;CURIUM,KeyBoy;HAWKBALL;PoetRAT,Privacy;Response;Detection;Legal;Notification;Validation;Exfiltration;Developments,4,2,45,SecOps;Exec,0.330105,0.891127,T1585.001;T1036.002;T1559.002;T1587,defense-evasion;execution;resource-development,Linux;PRE;Windows;macOS,Detection of Develop Capabilities;Detect Abuse of Dynamic Data Exchange (T1559.002);Detection of Social Media Accounts;Right-to-Left Override Masquerading Detection via Filename and Execution Context
53,2023-11-26,Data Breach,Compromise Accounts;Audio Capture;Remote Services;Data from Local System;Silver Ticket;Forced Authentication;IDE Extensions,Data breach;Dark web;Impact;Exfiltration,FIN13;APT28;APT3;Gamaredon Group;RedCurl;Dark Caracal;Lazarus Group;Sandworm Team;OilRig;Turla;Fox Kitten;HAFNIUM;APT1;Stealth Falcon;Andariel;Ke3chang,KGH_SPY;Neoichor;EnvyScout;AppleSeed;Stuxnet,Media;Notification;Developments,1,4,240,Exec;SecOps,0.684819,0.465223,T1586;T1123;T1021;T1005;T1558.002;T1187;T1176.002,collection;credential-access;lateral-movement;persistence;resource-development,ESXi;IaaS;Linux;Network Devices;PRE;Windows;macOS,"Detect malicious IDE extension install/usage and IDE tunneling;Detect Forged Kerberos Silver Tickets (T1558.002);Behavioral Detection Strategy for Remote Service Logins and Post-Access Activity;Detection of Local Data Collection Prior to Exfiltration;Behavioral Detection Strategy for T1123 Audio Capture Across Windows, Linux, macOS;Detect Forced SMB/WebDAV Authentication via lure files and outbound NTLM;Detection of Compromise Accounts"
54,2024-07-27,Ransomware,Impact;Replication Through Removable Media;Virtual Machine Discovery;Reconnaissance;PowerShell,Financial;Dark web;Crypto;Ransom negotiation,Mustang Panda;Wizard Spider;Inception;menuPass;FIN6;Confucius;Cobalt Group;APT41;Medusa Group;Molerats,Troll Stealer;TAMECAT;Stuxnet;StrongPity,Impact;Response;Exfiltration;Notification;Detection,4,3,135,Threat Intel;SecOps,0.313945,0.8282,T1491.001;T1091;T1673;T1597.002;T1059.001,discovery;execution;impact;initial-access;lateral-movement;reconnaissance,ESXi;Linux;PRE;Windows;macOS,Internal Website and System Content Defacement via UI or Messaging Modifications;Removable Media Execution Chain Detection via File and Process Activity;Detection Strategy for Virtual Machine Discovery;Detection of Purchase Technical Data;Abuse of PowerShell for Arbitrary Execution
55,2024-10-25,Supply Chain,Reconnaissance;SIP and Trust Provider Hijacking;Acquire Access;DNS/Passive DNS,Initial Access;APT,Cinnamon Tempest;Volatile Cedar;Sandworm Team;Earth Lusca;Nomadic Octopus;FIN5,Misdat;AuditCred;AppleSeed;Chaes;Taidoor,Notification;Exfiltration;Privacy,1,5,150,Network;SecOps,0.745096,0.621944,T1592.003;T1553.003;T1650;T1596.001,defense-evasion;reconnaissance;resource-development,PRE;Windows,Detection Strategy for Subvert Trust Controls using SIP and Trust Provider Hijacking.;Detection of Firmware;Detection of Acquire Access;Detection of DNS/Passive DNS
56,2023-04-09,Remote Access Trojan,Exfiltration Over Webhook;Virtual Private Server;Resource Development,Exfiltration;APT;Initial Access,Winter Vivern;APT28;APT1;APT42;HAFNIUM;BlackByte;Kimsuky;Contagious Interview;Mustard Tempest;LAPSUS$;CURIUM;Ember Bear;Sea Turtle,Gootloader,Privacy;Notification;Media;Response;Detection;Impact,1,3,90,Exec;SecOps,0.979018,0.926947,T1567.004;T1583.003;T1584.001,exfiltration;resource-development,ESXi;Linux;Office Suite;PRE;SaaS;Windows;macOS,Detection of Domains;Detection of Virtual Private Server;Detection Strategy for Exfiltration Over Webhook
57,2022-06-14,Banking Trojan,Impact;Default Accounts;Exfiltration Over Web Service;Software Packing;Persistence,Exfiltration;Data breach;Financial,Threat Group-3390;TA505;SilverTerrier;APT29;Storm-0501;Water Galura;Strider;APT3;INC Ransom;Medusa Group;Dark Caracal;Ember Bear;Play;The White Company,Squirrelwaffle;Exbyte;GreyEnergy;Egregor;LockBit 3.0;ShimRat,Privacy;Detection;Legal;Exfiltration;Impact;Media;Response;Notification,4,3,240,Exec;Media,0.788441,0.56132,T1657;T1078.001;T1567;T1027.002;T1556.002,credential-access;defense-evasion;exfiltration;impact;initial-access;persistence;privilege-escalation,Containers;ESXi;IaaS;Identity Provider;Linux;Network Devices;Office Suite;SaaS;Windows;macOS,Detect Malicious Password Filter DLL Registration;Detection of Default Account Abuse Across Platforms;Detection Strategy for Financial Theft;Obfuscated Binary Unpacking Detection via Behavioral Patterns;Detection Strategy for Exfiltration Over Web Service
58,2024-11-22,Web Shell,IP Addresses;Defense Evasion;Initial Access;Malicious File;Domain Generation Algorithms;Command and Scripting Interpreter;Execution,Web;Exfiltration;C2;Initial Access,Storm-1811;Elderwood;APT37;APT12;The White Company;Threat Group-1314;TeamTNT;TA551;HEXANE;Ke3chang;Suckfly;Wizard Spider;Chimera;Kimsuky,Mosquito;Mivast;DealersChoice;Lumma Stealer;Bad Rabbit,Validation;Notification;Response;Detection;Privacy;Impact,2,5,90,Media;SecOps,0.635393,0.99718,T1590.005;T1036.008;T1566.001;T1204.002;T1568.002;T1059;T1059.003,command-and-control;defense-evasion;execution;initial-access;reconnaissance,ESXi;IaaS;Identity Provider;Linux;Network Devices;Office Suite;PRE;Windows;macOS,Detection Strategy for Dynamic Resolution using Domain Generation Algorithms.;Behavioral Detection of Command and Scripting Interpreter Abuse;Detection Strategy for Spearphishing Attachment across OS Platforms;Detection of IP Addresses;Detection Strategy for Masquerading via File Type Modification;Behavioral Detection of Windows Command Shell Execution;User Execution – Malicious File via download/open → spawn chain (T1204.002)
59,2023-07-18,Supply Chain;Crypto Miner,Compute Hijacking;Defense Evasion,Botnet;Malware;Supply Chain,TA2541;Rocke;Lazarus Group;APT33;APT28;APT18;Higaisa;Elderwood;Leviathan;Moonstone Sleet;Mofang,LightNeuron;PlugX;BendyBear;BitPaymer;RansomHub,Impact;Privacy;Validation;Legal;Developments;Response,3,2,30,SecOps;Exec,0.253659,0.802012,T1496.001;T1027.013,defense-evasion;impact,Containers;IaaS;Linux;Windows;macOS,Encrypted or Encoded File Payload Detection Strategy;Multi-Platform Behavioral Detection for Compute Hijacking
60,2023-04-27,Ransomware,Clear Mailbox Data;File Deletion;Reconnaissance;Privilege Escalation;Dynamic Data Exchange;Resource Development;Discovery,Crypto;Financial,Contagious Interview;APT37;FIN13,PowerDuke,Exfiltration;Legal;Developments;Media;Detection;Validation;Response;Notification;Privacy,3,4,45,SecOps;Vulnerability Management,0.405588,0.874841,T1070.008;T1070.004;T1598.003;T1546.011;T1559.002;T1608.004;T1046,defense-evasion;discovery;execution;persistence;privilege-escalation;reconnaissance;resource-development,Containers;ESXi;IaaS;Linux;Network Devices;Office Suite;PRE;Windows;macOS,Detection of Spearphishing Link;Behavioral Detection Strategy for Network Service Discovery Across Platforms;Detection Strategy for Application Shimming via sdbinst.exe and Registry Artifacts (Windows);Behavioral Detection of Mailbox Data and Log Deletion for Anti-Forensics;Behavioral Detection of Malicious File Deletion;Detection of Drive-by Target;Detect Abuse of Dynamic Data Exchange (T1559.002)
61,2023-07-25,Phishing,Social Media;Server;Defense Evasion;Stage Capabilities;Spearphishing Attachment;Social Media Accounts;Execution;Control Panel,Data breach;Malware,TA505;Indrik Spider;TA459;Lazarus Group;APT37;Dragonfly;Darkhotel;APT33;APT28;Sandworm Team;EXOTIC LILY;Windshift;APT29;Naikon,Squirrelwaffle;Bad Rabbit;DarkTortilla,Exfiltration;Detection;Developments;Response;Media;Legal;Notification;Impact;Privacy;Validation,3,4,195,Vulnerability Management;SecOps,0.522661,0.663513,T1593.001;T1583.004;T1211;T1608;T1566.001;T1586.001;T1204.002;T1218.002,defense-evasion;execution;initial-access;reconnaissance;resource-development,IaaS;Linux;PRE;SaaS;Windows;macOS,Detection Strategy for Exploitation for Defense Evasion;Detection of Stage Capabilities;Detection of Server;Detection Strategy for Spearphishing Attachment across OS Platforms;Detection of Malicious Control Panel Item Execution via control.exe or Rundll32;Detection of Social Media;User Execution – Malicious File via download/open → spawn chain (T1204.002);Detection of Social Media Accounts
62,2022-08-11,Crypto Miner,Execution;Steal or Forge Authentication Certificates;Disable or Modify Cloud Firewall,Crypto;Malware;DDoS,MuddyWater;Sandworm Team;APT32;FIN8,Latrodectus;Qilin;Gootloader,Media;Validation;Notification;Detection;Response;Impact,1,4,150,Media;SecOps,0.538149,0.77679,T1204.001;T1649;T1562.007,credential-access;defense-evasion;execution,IaaS;Identity Provider;Linux;Windows;macOS,Detection Strategy for Steal or Forge Authentication Certificates;User Execution – Malicious Link (click → suspicious egress → download/write → follow-on activity);Detection Strategy for Disable or Modify Cloud Firewall
63,2022-11-05,Phishing,Firmware;Initial Access;Resource Development,Initial Access;Malware;Data breach;Financial,Gorgon Group;Confucius;PLATINUM;Saint Bear;Lazarus Group;Gallmaker;Star Blizzard;LazyScripter,ROKRAT;ZxxZ;Saint Bot;XLoader,Media;Privacy;Validation;Developments;Impact;Legal,5,4,210,Network;SecOps,0.198168,1.0,T1592.003;T1566.001;T1585.002,initial-access;reconnaissance;resource-development,Linux;PRE;Windows;macOS,Detection of Firmware;Detection Strategy for Spearphishing Attachment across OS Platforms;Detection of Email Accounts
64,2024-03-12,Insider Threat;Banking Trojan,Symmetric Cryptography;Adversary-in-the-Middle;Exfiltration to Cloud Storage;Exfiltration Over Symmetric Encrypted Non-C2 Protocol;Embedded Payloads,Financial;C2,Moonstone Sleet;Stealth Falcon;Medusa Group;POLONIUM;Ember Bear;APT28;Turla;Sea Turtle,Nebulae;Metamorfo;Line Runner;DEADWOOD;Felismus;Octopus,Exfiltration;Detection;Impact;Media;Notification;Developments,5,3,30,Exec;SecOps,0.593058,0.731687,T1573.001;T1557;T1567.002;T1048.001;T1027.009,collection;command-and-control;credential-access;defense-evasion;exfiltration,ESXi;Linux;Network Devices;Windows;macOS,Detection Strategy for Exfiltration to Cloud Storage;Behavioral Detection Strategy for Exfiltration Over Symmetric Encrypted Non-C2 Protocol;Detection Strategy for Embedded Payloads;Detect Adversary-in-the-Middle via Network and Configuration Anomalies;Detection Strategy for Encrypted Channel via Symmetric Cryptography across OS Platforms
65,2025-03-06,Supply Chain;Banking Trojan,Remote Email Collection;Collection;Steal Application Access Token;Purchase Technical Data,Exfiltration;Botnet;Malware;Dark web,Chimera;APT28;Star Blizzard;Ke3chang;LAPSUS$;APT29;Dragonfly;Scattered Spider;APT1;HAFNIUM;Magic Hound,LightNeuron,Exfiltration;Notification;Legal;Privacy;Impact,1,3,75,Exec;Network,0.740897,0.917833,T1114.002;T1114.003;T1528;T1597.002,collection;credential-access;reconnaissance,Containers;IaaS;Identity Provider;Linux;Office Suite;PRE;SaaS;Windows;macOS,Detection Strategy for T1528 - Steal Application Access Token;Detection of Purchase Technical Data;Detect Remote Email Collection via Abnormal Login and Programmatic Access;Email Forwarding Rule Abuse Detection Across Platforms
66,2022-12-05,Insider Threat,Web Portal Capture;Purchase Technical Data;Additional Cloud Roles;Defense Evasion;Exfiltration to Code Repository,Exfiltration;Financial;Impact,APT38;Storm-0501;UNC3886;BlackByte;Magic Hound;Carbanak;ToddyCat;Salt Typhoon;Scattered Spider;OilRig;LAPSUS$;Velvet Ant;Kimsuky;Medusa Group;Winter Vivern,InvisiMole,Detection;Validation;Notification;Media;Response;Exfiltration;Developments,4,5,75,SecOps;Network,0.731344,0.969629,T1056.003;T1597.002;T1098.003;T1562.004;T1567.001,collection;credential-access;defense-evasion;exfiltration;persistence;privilege-escalation;reconnaissance,ESXi;IaaS;Identity Provider;Linux;Network Devices;Office Suite;PRE;SaaS;Windows;macOS,Detection of Disabled or Modified System Firewalls across OS Platforms.;Detection of Purchase Technical Data;Detection Strategy for Role Addition to Cloud Accounts;Detection Strategy for Exfiltration to Code Repository;Detection of Credential Harvesting via Web Portal Modification
